,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance
10615,5,50,0,120948.16,10373.01333,0,5,2,2,12,11.902859620723664,7.61,1.0,1,16.36,32.629090963932775,312,0,121.8453296,184.66938225150392,982.243727137641
11847,4,43,5,19960.25748073576,1639.8103342126199,4,1,5,3,13,10.70956822347015,2.5318353199452894,1.8226079441324625,1,349.3650777853619,32.43669668741201,278,1,49.24806689837493,116.03728695884928,288.6956795552465
6594,0,54,7,44083.28,3703.606667,1,4,9,3,5,4.0,3.45,1.0,1,616.74,30.56390667,248,1,76.00983288,95.36697201,438.9838618
4502,1,36,1,39944.67,3318.7225,4,3,7,1,0,0.0,8.34,1.0,1,364.95,32.03534547,196,0,22.37777689,254.9845184,324.5099547
3794,4,24,2,8805.955,525.8295833,6,5,19,-100,18,13.0,13.04,10.0,2,584.78,23.65484917,121,2,23.57735329,34.59404589,274.4115592
9704,2,33,0,30548.74,2727.728333,7,5,33,-100,51,20.0,11.95,12.0,0,2051.86,32.99123568,77,0,47.15733072,150.8723296,334.743173
3290,3,22,5,128163.36,10648.28,5,7,7,4,14,-3.0,8.79,1.0,1,1494.56,31.07255953,218,0,281.7923011,412.446224,650.5894749
9623,1,37,6,20961.27,1833.7725,11,11,16,3,44,18.0,7.12,13.0,2,1917.28,30.23806666,198,2,43.21503067,69.85557032,320.306649
9211,1,18,6,9092.87,477.7391667,6,6,16,5,11,17.0,15.8,12.0,2,2216.91,39.60371141,99,2,30.73349689,25.90221649,271.1382033
10079,3,32,10,21686.16341543575,1838.0167020134304,53,3,10,0,10,-0.3536021035046275,1.5502313321372807,0.33079973706192156,1,560.1530600358816,31.452413163692967,381,1,7.69805755947374,57.52300495227723,365.2726103490488
8596,6,51,4,40067.96,3373.212108,0,4,4,0,3,9.0,3.45,0.0,1,401.8,32.90593062,197,1,246.7845589,253.2877064,388.7119603
7960,7,44,10,45033.54,3860.795,5,6,21,2,18,18.0,21.15,10.0,2,2381.98,24.72644037,209,2,57.85260773,237.6156197,380.6112725
5171,1,28,2,23459.45,2121.954167,8,5,9,2,13,10.0,3.56,5.0,2,264.07,24.98628731,303,2,26.60782995,121.2540904,354.3334963
1731,4,43,12,7296.72,840.06,8,6,29,5,16,14.0,17.65,13.0,2,2567.89,33.88201632,77,2,30.01460072,68.51552331,265.475876
9965,4,28,8,37688.55,3317.7125,2,6,2,4,9,7.0,3.27,7.0,1,28.36,26.31634579,301,1,114.3337212,115.6512721,351.7862567
11848,1,24,8,48635.8215648834,3964.465817844047,336,9,30,-74,46,21.518936829639703,13.507003599052336,9.0,0,3414.9918687332142,30.43576570240322,131,0,393.730259289371,234.82251130402196,268.87329626023654
6443,3,18,4,139118.04,11457.17,3,4,12,3,19,12.0,6.11,0.0,1,419.4,31.02043547,383,1,244.9867263,216.0670779,924.6631957
3710,2,22,5,22320.325,1966.027083,0,7,9,3,23,2.0,4.63,4.0,1,983.12,24.19426565,225,1,40.92697968,73.96678243,371.7089462
1870,2,42,3,40290.47,3617.539167,5,5,5,4,11,8.0,3.93,7.0,1,337.75,33.00958437,250,1,74.087584,301.208115,266.4582177
2804,1,40,9,21018.0,2011.5,8,4,17,0,14,13.0,16.1,4.0,2,98.61,30.53798539,330,2,81171.0,164.3459241,316.8040759
5284,2,40,7,36963.52,2902.293333,9,10,23,8,54,27.0,4.27,12.0,0,2518.8,22.98079303,160,0,203.6009927,368.1256005,8.50274017
2211,4,27,3,7709.355,845.44625,7,4,32,5,16,16.0,14.92,8.0,2,1510.15,30.50671989,153,2,27.68500223,27.50832516,309.3512976
10485,1,42,6,41955.48089236673,3667.294270488174,4,153,10,0,2,8.847976218794631,2.702522068977439,4.788005945301342,1,939.0840387753685,31.339509770611738,357,0,0.0,194.81250973431054,427.6770362353733
6176,7,30,4,54858.75,4327.5625,7,7,16,5,8,19.0,11.74,5.0,2,2229.82,35.35822656,237,2,144.2991584,332.1828046,236.274287
3133,7,17,9,7619.09,428.9241667,4,6,18,2,28,18.0,11.5,13.0,2,2069.3,28.8750686,189,2,8.756593493,10.14128456,293.9945386
168,2,24,8,50528.61,4073.7175,9,10,17,9,36,19.0,7.26,10.0,0,2664.49,24.83908399,154,0,333.7049778,219.0195438,114.6472284
5042,4,27,13,97363.36,8059.613333,6,6,16,3,13,12.0,15.5,6.0,2,205.37,35.5954078,169,2,152.3969132,110.5854794,792.9789407
5537,6,27,5,128847.0,10980.25,5,4,8,2,18,9.0,5.95,3.0,1,664.62,40.81395558,250,1,197.0399432,186.7218905,964.2631664
8142,3,45,10,7207.44,625.62,9,5,15,6,17,9.0,15.11,9.0,2,2251.64,37.93546246,88,2,35.07605126,0.0,269.9118411
9340,3,28,7,31241.2,2719.433333,6,8,17,5,48,28.0,8.91,6.0,0,2176.5,26.52333654,106,2,122.0673593,89.31436806,310.561606
4029,1,20,6,16931.7,1656.975,8,5,23,3,42,16.0,1.17,15.0,0,1557.41,26.79114341,202,2,25.88400432,107.785152,322.0283437
7410,2,18,10,38992.57,3144.380833,3,3,3,0,7,6.0,4.23,3.0,1,1059.46,28.25924322,299,1,0.0,33.60223966,530.8358437
6948,3,34,3,17680.79,1329.399167,9,7,23,5,36,24.0,26.7,6.0,0,4894.42,28.75784143,77,2,72929.0,13.97847544,287.4871034
2107,0,23,6,30128.6,2716.716667,8,10,24,5,49,15.0,8.65,14.0,2,2486.16,24.36501443,146,0,93.99019329,133.9304453,333.7510281
6935,0,18,4,73378.32,5832.86,7,8,26,5,16,24.0,9.76,8.0,0,2075.82,29.46644884,124,2,187.0729499,239.5687566,416.6442935
9428,1,27,6,35664.22,2686.018333,9,7,17,5,21,20.0,10.24,11.0,0,4259.04,29.47891498,32,0,137.8839913,180.2908669,230.4269752
3034,2,44,6,36354.02,3062.501667,9,9,32,7,28,14.0,12.86,9.0,2,2654.94,27.54689753,138,2,124.9078306,138.7212396,322.6210965
7855,5,35,4,118845.76,9877.813333,0,7,10,0,0,10.0,9.38,6.0,1,101.26,33.85555157,378,1,0.0,153.3713976,1084.409936
10553,4,42,13,19214.965,1730.247083,0,4,11,0,10,10.0,4.18,0.0,1,498.81,25.394327850201844,349,1,0.0,220.7168574234779,242.30785096995263
7283,5,54,4,117851.07,9870.9225,-1,6,7,0,22,1.0,4.97,1.0,1,607.78,32.30373695,250,1,0.0,218.0052232,1019.087027
567,5,29,2,71689.68,5706.14,7,8,16,6,42,12.0,9.71,8.0,2,1773.97,37.72558081,182,0,286.9285326,380.7360233,162.949444
7306,1,30,9,8753.205,919.43375,7,6,21,8,35,24.0,6.87,12.0,0,2355.66,31.83829639,172,2,41.75898472,38.4352864,291.7491039
5739,7,19,14,79829.6,6618.466667,8,7,26,7,15,15.0,25.63,6.0,2,2200.1,36.1817611,231,2,448.512862,176.9344519,286.3993528
2367,0,21,6,33214.4,2842.866667,8,6,22,9,57,19.0,18.48,7.0,0,2681.54,29.05376146,122,2,226.3248239,232.8671518,115.094691
7095,0,27,14,32595.22,2606.268333,3,3,7,2,10,9.0,12.72,1.0,1,796.88,38.75605481,193,1,50.30543332,44.95289089,415.3685091
9586,4,25,4,17397.56,1681.796667,9,10,15,6,47,16.0,17.62,9.0,0,1435.6,28.98893412,229,2,37041.0,32.97681094,315.8974784
10809,5,34,9,57880.962017668266,4862.2759591715885,5,4,5,3,24,12.7535811104772,7.305071622209544,6.524355050216909,1,1302.2187765578115,28.538324028354218,347,1,120.54039454131228,358.8882162210026,296.79898514599006
5098,7,28,5,34132.87,2970.405833,4,6,4,4,7,8.0,10.89,1204.0,1,187.64,31.96260632,251,1,100.0843179,130.9112833,336.0449821
440,4,38,6,28585.38,2336.115,9,7,19,2,56,19.0,9.62,9.0,0,2423.96,33.88310272,207,2,43.83329423,116.6598645,333.1183413
2018,6,17,4,60078.27,4758.5225,5,7,11,4,10,6.0,7.72,2279.0,2,2198.8,31.78814029,187,2,128.9062474,53.10815153,543.837851
11947,4,23,8,32955.92557099772,2643.1277333241583,4,2,3,3,6,0.5867068428820197,4.720355909566389,0.0,1,64.59658477666542,28.77314830712521,197,0,66.26208995893259,130.25078765665916,328.99929308012554
8763,3,51,5,128515.52,10879.62667,4,4,5,1,25,9.0,1.24,2.0,1,721.91,32.5087361,362,1,96.77814029,352.7665989,898.4179275
8332,6,14,14,10353.13,677.7608333,7,5,34,8,54,25.0,3.5,6.0,0,2237.99,27.22634162,238,2,55.30319447,83.43334446,219.0395444
4533,3,35,12,19047.36,1769.28,8,5,23,-100,22,23.0,20.81,10.0,0,2815.41,38.24989482,137,2,68.68685746,177.0915323,221.1496102
5980,4,42,2,19167.04,1479.253333,6,6,15,4,32,19.0,12.19,6.0,2,1297.12,33.61201242,83,2,44.5354516,106.788971,266.6009107
11124,1,43,2,132378.2731253711,10872.79439927835,3,5,5,1,7,9.036629506526728,11.200053123542345,2.148210845149734,1,357.2302232972356,29.285165478403723,357,0,140.61033773691966,757.9791359576857,457.94891229043674
12066,4,40,1,31568.832369932803,2676.422508307037,1,3,1,-66,13,11.325408874945268,8.559881133124179,2.662704437472634,1,737.4069606257622,24.03271458594907,308,1,61.000838395300555,125.90439196266165,364.10997612795575
5022,3,45,12,106871.4,9127.95,0,3,3,0,2,8.0,5.19,4.0,1,250.7,36.40994393,394,1,0.0,583.8881942,598.9068058
5228,6,44,9,79980.52,6712.043333,7,9,24,7,30,23.0,23.72,12.0,0,3921.14,30.54186171,51,2,287.9370712,51.65392203,571.6133401
9354,6,36,10,16769.58,1335.465,6,5,28,7,61,18.0,8.87,11.0,0,1969.41,39.24458336,85,2,63.5484486,149.5925051,210.4055463
1224,4,48,11,41736.66,3330.055,3,3,9,3,9,1.0,4.25,1.0,1,1385.82,27.37715366,223,1,98.01563851,84.54175231,400.4481092
6127,4,26,0,17794.98,1666.915,7,7,19,7,27,20.0,4.01,12.0,0,2521.38,29.89169815,107,2,68.50830127,144.7952582,243.3879406
2592,0,45,2,102628.28,8252.356667,5,3,10,1,16,17.0,13.47,1.0,2,103.13,37.26269782,314,2,76.90893809,107.4444321,880.8822965
2753,6,23,2,19296.24,1669.02,2,7,2,2,9,4.0,15.76,4.0,1,826.02,31.76762889,237,1,25.3290433,89.62912779,311.9438289
5985,3,45,4,50733.18,4402.765,9,8,34,3,29,15.0,12.74,12.0,2,2130.22,35.73882452,141,2,74.86666604,315.1684146,330.2414194
5058,0,55,10,55929.32,4788.776667,7,6,5,0,26,18.0,11.7,2.0,1,994.27,41.25592805,209,1,8917.0,260.9896961,477.8879706
4754,3,22,12,14856.35,1473.029167,4,2,10,1,14,7.0,5.9,1.0,1,1456.25,26.50701164,309,1,6.524757595,86.89626083,313.8818982
2691,4,25,2,125271.96,10374.33,1481,7,1,4,10,10.0,6.44,7.0,1,827.56,33.20173039,308,0,241.0658852,180.5600146,855.8071002
36,0,31,4,32151.76,2591.313333,7,10,29,9,38,18.0,20.53,15.0,0,2598.41,35.00065998,83,2,181.9650732,248.6034487,118.5628114
12238,4,24,12,25171.12228191301,1829.2560592604943,5,5,12,0,11,10.991625112744085,0.5905264640478128,4.004187443627957,2,1155.2055897226153,27.127722011892335,342,0,13.743493028025368,58.34966759545091,362.074643877288
4205,1,45,11,15599.88,1324.99,6,8,21,6,60,23.0,20.27,8.0,0,4384.6,39.36512498,106,2,66.73228635,74.14245816,251.6242555
7593,1,32,8,134504.68,11187.72333,0,2,1337,1,7,7.0,3.21,8.0,1,1193.54,38.42146486,394,1,72.81102835,181.3466,1104.614705
2249,0,47,11,28587.29,2621.274167,4,1,7,0,0,2.0,1.22,0.0,1,1496.38,34.26125934,293,0,0.0,88.74306479,463.3843519
6942,7,20,14,10355.675,901.9729167,7,8,16,5,44,24.0,9.18,12.0,0,1794.66,29.2577912,237,2,25.70280854,50.07289048,284.4215926
7897,2,32,7,34612.26,2745.355,3,5,6,2,4,7.0,9.48,1.0,1,122.92,31.61815977,192,1,40.5640343,67.70524024,416.2662255
8318,6,21,13,36401.36,3231.446667,4,5,33,6,18,10.0,7.55,6.0,2,2301.93,23.86854342,161,2,129.3361785,76.72948749,377.0790007
9216,4,35,2,58192.44,4619.37,9,323,31,7,61,16.0,25.23,16.0,0,3334.81,36.05493281,73,2,204.3048653,441.5661132,106.0660214
7831,5,18,8,41417.04,3439.42,7,5,18,4,11,16.0,1.13,6.0,2,1486.49,26.52683143,175,2,122.5038835,101.8201781,369.6179384
4791,2,27,5,38957.34,3038.445,9,7,31,3,15,15.0,22.37,9.0,2,2274.1,25.98008404,197,0,52.07530566,335.7031405,206.0660539
9178,0,52,3,60284.16,5153.68,0,4,2,2,1,3.0,4.4,4.0,1,1306.74,33.78771147,365,1,67.9295751,46.21445444,641.2239705
6712,5,18,14,140042.28,11399.19,2,5,8,4,8,3.0,5.26,3.0,1,1438.91,24.10785378,200,1,256.5946453,565.7796029,597.5447518
8209,4,24,3,20937.38,1650.781667,8,8,30,3,59,20.0,19.56,8.0,2,1794.51,26.65861863,99,2,52.14929737,24.74626974,328.1825996
7711,1,36,6,16633.78,1613.148333,5,3,10,3,9,3.0,7.2,4.0,1,110.89,29.36067084,260,1,40.15058774,90.90420795,300.2600376
5009,1,47,6,19277.13,1891.4275,0,1,11,1,6,11.0,4.45,5.0,1,935.74,30.90217683,267,1,8.03993902,71.0891465,360.0136645
7047,7,47,8,29819.42,2413.951667,7,5,16,4,9,11.0,13.64,3.0,2,1379.69,29.41815335,301,1,89.16341871,202.3422628,239.8894852
3881,6,35,7,52338.57,4451.5475,6,8,22,5,32,18.0,24.07,7.0,0,3517.04,28.67971203,138,2,150.5977429,54.5118323,490.0451748
1360,1,28,7,32424.34,2561.028333,3,5,5,0,14,17.0,10.46,4.0,2,159.9,31.64675695,225,2,0.0,185.4485084,340.6543249
3413,1,28,7,20293.24,1647.255786,5,7,29,4,9,19.0,16.37,11.0,2,1972.22,31.16662573,104,2,89.30932683,31.30556947,342.2429843
11676,0,51,12,99862.49491061502,8313.187602334063,2,3,2,3,5,11.273801810264068,8.851941793826116,1.2053513576980504,1,697.1777310966212,36.53512399535409,272,1,156.95660656262413,227.39387468022156,696.2837745580553
7425,5,22,5,81334.68,6766.89,9,9,32,2,37,23.0,13.62,11.0,0,1731.47,34.83775319,163,2,99.2796392,231.7073644,595.7019964
486,4,38,3,37486.02,3299.835,3,5,8,3,1,8.0,2.65,2.0,1,358.83,32.06965848,254,1,66.53922204,61.06400026,442.3802777
8490,0,16,1,132842.56,9717.936208,6,5,17,1,10,9.0,7.41,7.0,2,837.96,30.13704645,256,2,1645.529388,1064.68111,275.4879608
12369,5,49,5,32310.851309238227,2831.2503038803166,2,5,4,3,12,11.427989357396626,8.705420753076577,0.8559787147932543,1,1331.1686096592864,31.78501245901426,253,1,78.71093202706382,102.82957164305832,369.44457997022664
5007,6,36,9,82383.04,6661.253333,3,5,8,4,17,14.0,1.71,4.0,1,1218.57,30.66395493,394,1,162.1089556,168.2203936,575.7959841
4870,4,53,9,74366.94,6380.245,0,7,2,3,12,10.0,9.61,3.0,1,265.44,39.31282699,377,1,126.6422355,127.3692706,644.0129939
5639,4,34,14,40032.16,3465.013333,5,5,3,2,15,8.0,5.08,6.0,1,1058.13,33.99717975,262,1,64.38721912,237.7951206,314.3189936
3877,3,32,1,14995.29,1138.6075,7,5,28,5,43,24.0,18.85,7.0,0,4593.28,33.15864081,35,2,60.53596372,64.06501876,279.2597675
3931,7,45,14,66287.28,5513.94,4,3,8,0,20,10.0,8.99,8.0,2,748.48,31.4339707,365,0,0.0,209.4401579,591.9538421
637,0,17,13,17291.27,1226.939167,10,9,20,8,26,15.0,6.86,8.0,0,4231.86,29.73351333,95,2,105.1517922,139.4429861,168.0991383
9162,5,34,4,34266.08,3038.506667,8,9,21,6,19,13.0,10.07,7.0,2,1843.93,27.39345833,135,2,161.8440105,269.1354122,162.8712439
4993,5,31,2,15129.9,1166.825,7,9,28,9,62,16.0,8.73,8.0,0,1801.79,32.76265229,207,2,70.5054541,81.86190517,254.3151407
11734,5,43,4,38932.73871334481,3264.632747341858,4,5,10,3,11,6.91531718510516,6.283711188170555,7.074595155531548,1,14.467594855170992,30.14101939225056,318,1,68.17551572668944,87.03570144996485,428.1673747442294
4407,2,31,6,30560.73,2692.7275,5,4,4420,4,14,5.0,3.64,2.0,1,1354.32,34.82634679,296,0,73.51315401,168.8114372,306.9481588
3238,2,15,12,9134.4,628.2,10,9,15,5,41,15.0,7.63,12.0,0,1640.86,32.05370488,164,2,36.93670398,43.02040711,272.8628889
4420,4,18,3,81744.76,6948.063333,10,6,15,7,51,21.0,18.45,17.0,0,2196.59,25.29795963,101,2,434.9673574,274.701869,265.1371069
3872,2,16,10,60335.25,5120.9375,9,9,15,2,44,18.0,11.04,7.0,0,1814.22,36.31520205,201,2,92.42547138,240.6328854,469.0353933
5531,0,28,0,7711.54,779.6283333,8,7,24,9,62,18.0,17.27,6.0,0,2929.44,26.19473714,34,2,44.85358883,66.2865423,256.8227022
5899,3,33,4,133057.89,10815.1575,5,7,8,4,7,3.0,3.76,3.0,1,1344.45,29.66012909,259,0,355.3523328,486.573853,519.5895642
7248,1,46,3,126091.71,10406.6425,1,5,6,0,0,3.0,5.38,2.0,1,1456.29,34.16209115,232,1,0.0,584.4046877,746.2595623
12418,7,43,9,19204.245126730668,1791.5401753187502,4,4,1,3,2,8.96591053433302,2.7897744305129617,3.0,1,377.72267391399237,38.002042112732,255,1,37.85315717679124,32.06398007634152,359.5777749850712
4049,6,22,13,16627.15,1236.595833,9,6,32,8,35,18.0,1.39,9.0,0,2607.71,24.1392555,196,2,92.23669596,43.20280844,278.2200789
4194,7,14,10,73823.84,6130.986667,7,6,30,6,52,14.0,18.39,6.0,2,1949.73,23.44301894,152,2,356.3654785,217.0159699,309.7172183
11466,2,34,1,37490.77462264268,3044.1000780535214,2,4,7,0,11,5.547213446560075,9.394350905467677,1.584918127588593,1,433.39672551590263,30.657883065818936,281,1,12.733846366671436,197.88082507598472,360.0215644571687
167,4,49,4,31653.01,2478.750833,3,7,9,2,8,5.0,9.2,6.0,1,1250.9,35.49731026,290,1,27.11102882,38.30034787,422.4637066
1915,0,49,8,16523.745,1516.97875,1,4,1,4,4,9.0,10.06,4.0,1,455.49,24.99796324,307,1,52.21616909,146.0810546,243.4006513
10878,4,40,5,147196.40250555298,12260.187807131211,2,1,8,0,3,8.03392060488222,6.14870896020726,4.0,1,1168.0626710030692,44.803172686842345,340,1,37.64400262086292,244.62511836049583,1188.919262861004
7255,4,17,14,29985.2,2437.766667,5,8,26,3,17,19.0,18.29,11.0,2,1793.18,31.00473244,230,2,65.26315554,306.8488277,161.6646835
9075,0,53,4,88818.56,7139.546667,2,1,11,1,6,4.0,10.09,3.0,1,449.23,38.94980232,330,1,68.04044883,139.3658872,746.5483306
3524,5,29,12,34107.42,3000.285,8,5,17,2,15,18.0,13.55,7.0,2,884.77,28.83533704,204,2,44.53855484,128.7359732,386.753972
10863,4,30,4,117616.15831547446,9918.870975903637,3,5,2019,1,27,11.888170348350554,17.741012618712727,1.703943217216482,2,814.4875929086479,33.781496487092475,282,2,130.92363617845623,497.14727209004093,616.7767570371354
11700,0,23,9,163860.34897311803,13755.412135075285,4,5,6,1,5,-0.30920859894898367,10.30891145735516,5.13651074868623,1,446.4990007366613,39.9773487565891,361,1,115.09670452693857,136.01386434217315,1366.1576228317356
5453,1,40,6,15046.85,984.8205738,9,5,18,8,46,18.0,30.13,12.0,0,3331.26,35.17934307,146,2,100.482112,91.39908631,228.4928112
801,2,55,9,103187.22,8420.935,0,3,6,0,9,11.0,4.07,4.0,1,790.99,40.89082535,264,1,0.0,344.8285794,747.2649206
2138,3,37,13,84660.74,7046.061667,4,4,12,1,15,2.0,8.99,3.0,1,702.26,33.81227979,323,1,60.86361532,54.96588099,828.7766704
7636,6,33,4,169293.52,14365.79333,2,4,5,1,12,5.0,12.22,1.0,1,931.52,38.63820928,367,1,92.04008013,1390.087221,234.4520321
3559,4,19,3,23489.78,2221.481667,7,5,12,4,16,13.0,3.54,0.0,2,530.44,31.04753832,303,1,49.04865314,46.44943835,366.6500752
742,5,38,14,14688.4,1056.033333,7,6,8,3,27,15.0,16.68,4.0,2,936.02,27.41914629,136,2,24.35419767,71.14968914,300.0994465
10607,3,18,6,16289.329715638405,1643.4462404372325,4,3,2,1,13,1.4498112579371085,9.243040684400222,3.2998741719580726,1,513.2277720113245,27.8982368414383,329,1,25.45199975891179,58.420338823191564,331.9716562454086
5747,6,35,8,31503.24,2911.27,0,5,6,0,16,10.0,5.47,1.0,1,628.79,36.72005258,384,1,0.0,381.6570975,199.4699025
6654,0,48,2,57080.22,4598.685,6,4,3,3,6,9.0,0.75,0.0,1,553.43,34.91859809,276,1,116.5307469,134.7640677,458.5736854
