ID,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score
48,August,31,Lawyer,73928.46,5988.705,4,5,8,0,8,7,10.14,,Good,548.2,31.58098967,390,No,0,42.63559025,796.2349097,Good
49,January,33,Lawyer,131313.4,11242.78333,0,1,8,2,0,3,9.34,2,Good,352.16,32.200509,367,NM,137.6446054,378.1712535,858.4624744,Good
50,February,34,Lawyer,131313.4,11242.78333,0,1,8,2,-1,2,15.34,4,Good,352.16,31.98371001,368,No,137.6446054,698.8732707,547.7604572,Good
51,March,34,Lawyer,131313.4,10469.20776,0,1,8,2,0,3,9.34,4,Good,352.16,31.8031345,369,NM,911.2201793,188.0643211,1038.569407,Good
52,April,34,Lawyer,131313.4,10469.20776,0,1,8,2,0,2,8.34,4,Good,352.16,42.6457849,370,No,23834,337.4349563,899.1987716,Good
53,May,34,Lawyer,131313.4,10469.20776,0,1,8,2,0,4,9.34,4,Good,352.16,40.90251715,371,No,32662,263.3789089,963.254819,Good
56,August,34,Lawyer,131313.4,10469.20776,0,1,8,2,0,2,9.34,4,Good,352.16,29.18791265,374,No,911.2201793,870.5223817,396.1113462,Good
65,January,23,Doctor,114838.41,9843.8675,2,5,7,-100,13,11,8.24,3,Good,1377.74,33.66455429,256,No,226.8927919,215.1935159,802.3004421,Good
68,April,23,Doctor,114838.41,,2,5,7,3,11,14,8.24,8,Good,1377.74,30.45903184,259,No,226.8927919,225.0820495,772.4119086,Good
71,July,24,Doctor,114838.41,9843.8675,2,5,7,3,11,,8.24,8,Good,1377.74,31.76751565,262,No,226.8927919,215.4682977,792.0256603,Good
74,February,44,Journalist,31370.8,2825.233333,1,6,12,2,2,0,-1.24,2,Good,421.43,28.22048096,318,No,46.61612907,298.7444693,227.1627349,Good
75,March,44,Journalist,31370.8,2825.233333,1,6,12,2,-2,0,1.76,5,Good,421.43,31.04641791,319,No,46.61612907,140.820696,375.0865083,Good
79,July,45,Journalist,31370.8,2825.233333,1,6,12,-100,-1,2,5.76,5,Good,421.43,22.76220217,323,No,46.61612907,188.3949005,337.5123038,Good
93,May,33,Engineer,88640.24,7266.686667,3,6,1,2,4,2,3.51,3,Good,950.36,34.70283693,309,No,135.173371,279.6186221,561.8766736,Good
94,June,33,Engineer,88640.24,7266.686667,3,6,1,2,4,0,3.51,3,Good,950.36,38.32363895,310,No,135.173371,686.1262166,195.3690791,Good
96,August,33,Engineer,88640.24,7266.686667,3,6,1,2,-1,,3.51,3,Good,950.36,30.87079911,312,No,135.173371,98.44195128,733.0533444,Good
106,February,39,Manager,8701.545,519.12875,6,5,32,7,23,9,8.86,6,Standard,2602.69,39.9025176,108,Yes,36.54819717,34.71516394,250.6495139,Poor
108,April,39,Manager,8701.545,519.12875,6,5,32,7,22,7,8.86,6,Standard,2602.69,32.09749228,110,Yes,36.54819717,20.39018388,284.974494,Poor
109,May,39,Manager,8701.545,519.12875,6,5,32,7,22,9,8.86,6,Standard,2602.69,37.16937449,111,Yes,36.54819717,50.4869522,254.8777256,Poor
133,May,20,Accountant,92047.08,7591.59,6,7,16,0,16,8,9.13,4,Standard,1296.64,34.35765024,354,NM,0,78.71934549,920.4396545,Poor
136,August,20,Accountant,92047.08,7591.59,6,7,16,0,16,11,9.13,4,Standard,1296.64,27.72764678,357,Yes,0,268.0846033,761.0743967,Poor
148,April,26,Musician,97791.42,,6,6,12,0,19,8,15.92,1,Standard,107.41,26.51363149,329,Yes,629.8156531,499.24502,588.68348,Good
150,June,26,Musician,97791.42,7449.469347,6,6,12,0,16,8,17.92,1,Standard,107.41,44.67688859,331,Yes,629.8156531,108.3039386,939.6245614,Good
153,January,31,Entrepreneur,19300.34,1512.361667,6,7,17,5,52,,9.95,7,Bad,2430.21,29.93418573,218,Yes,49.57206224,79.17641583,312.4876886,Poor
154,February,31,Entrepreneur,19300.34,1512.361667,6,7,17,5,51,18,9.95,7,Bad,2430.21,36.64120358,219,NM,49.57206224,55.29821299,306.3658914,Poor
158,June,32,_______,19300.34,1512.361667,6,1029,17,5,51,17,9.95,8,Bad,2430.21,25.84779062,223,Yes,49.57206224,83.44744883,288.2166556,Poor
164,April,41,Musician,19514.88,1828.24,7,488,17,0,30,12,4.17,2,Standard,881.4,34.50370724,234,No,0,45.38882031,387.4351797,Poor
165,May,41,Musician,19514.88,,7,5,17,0,30,,4.17,2,Standard,881.4,41.1763842,235,No,0,168.3414629,304.4825371,Poor
166,June,41,_______,19514.88,,7,5,17,0,30,12,4.17,2,Standard,881.4,38.78807246,236,No,0,151.3776398,321.4463602,Poor
167,July,41,Musician,19514.88,1828.24,7,5,17,0,30,15,4.17,2,Standard,881.4,27.18248277,237,No,0,184.63116,278.19284,Poor
169,January,41,Media_Manager,10183.015,,7,5,17,5,48,,8.97,6,Bad,1672.43,25.95127289,121,Yes,37.58807284,14.62273924,295.2476463,Poor
170,February,41,Media_Manager,10183.015,1074.584583,7,5,17,5,48,18,7.97,6,Bad,1672.43,32.38559762,122,NM,37.58807284,92.36195002,267.5084355,Poor
171,March,41,Media_Manager,10183.015,1074.584583,7,5,17,5,48,23,7.97,6,Bad,1672.43,23.73134791,123,Yes,37.58807284,91.88397194,267.9864136,Poor
173,May,41,Media_Manager,10183.015,1074.584583,7,5,17,5,51,,7.97,6,Bad,1672.43,32.29348991,125,Yes,37.58807284,65.83126164,294.0391239,Poor
174,June,42,_______,10183.015,1074.584583,7,5,17,5,48,24,10.97,1050,Bad,1672.43,25.10540255,126,Yes,37.58807284,73.89986104,285.9705245,Poor
179,March,20,Entrepreneur,106733.13,8873.4275,4,4,4975,0,2,6,0.86,0,Good,76.23,42.0704586,395,No,0,172.0328285,955.3099215,Good
180,April,20,Entrepreneur,106733.13,,4,4,1,0,5,7,-4.14,0,Good,76.23,25.84254794,396,No,0,644.2873937,513.0553563,Good
188,April,32,_______,12600.445,782.0370833,5,5,10,3,25,18,15.79,,Standard,569.8,28.81940706,150,Yes,33746,31.14919791,300.9941629,Poor
190,June,32,Lawyer,12600.445,782.0370833,5,5,10,3,25,19,15.79,7,Standard,569.8,36.52748004,152,Yes,26.06034753,48.00806666,294.1352941,Poor
192,August,32,Lawyer,12600.445,782.0370833,5,5,10,3,25,19,15.79,11,Standard,569.8,31.97887352,154,Yes,26.06034753,66.37358,275.7697808,Poor
195,March,34,Mechanic,57983.12,4720.926667,9,8,31,8,48,,7.27,17,Bad,3532.83,37.81024309,148,Yes,200.4326134,534.3581784,27.30187488,Poor
197,May,34,Mechanic,57983.12,4720.926667,9,8,31,8,48,21,10.27,17,Bad,3532.83,37.28428974,150,Yes,200.4326134,205.2501523,356.409901,Poor
209,January,30,Writer,34290.12,2697.51,9,8,25,7,52,10,17.96,9,Standard,2686.81,39.28029559,164,NM,185.1119826,248.0699573,106.5690601,Poor
212,April,30,Writer,34290.12,,9,8,25,-100,52,7,13.96,9,Standard,2686.81,36.16398913,167,NM,185.1119826,99.47477404,255.1642434,Poor
235,March,37,Manager,39641.54,3007.461667,10,8,25,6,61,15,1.54,568,Bad,2258.73,27.5728629,106,Yes,172.3825274,198.0421234,190.3215159,Poor
238,June,37,Manager,39641.54,3007.461667,10,8,25,6,61,16,1.54,8,Bad,2258.73,27.91283759,109,Yes,172.3825274,122.148451,296.2151883,Poor
240,August,38,Manager,39641.54,3007.461667,10,8,25,6,61,13,-2.46,8,Bad,2258.73,34.8490497,111,Yes,172.3825274,149.2678062,249.0958331,Poor
243,March,55,Scientist,20186.02,1684.168333,1,5,1,2,4,3,6.83,4,Good,413.32,31.86173627,221,No,29.53458372,26.29047662,362.591773,Good
246,June,55,Scientist,586359,1684.168333,1,5,1,2,5,7,6.83,4,Good,413.32,28.83634916,224,No,29.53458372,68.95672494,319.9255247,Good
250,February,43,Musician,18627.64,,7,7,19,6,31,21,5.07,7,Bad,1793.54,35.03034908,226,Yes,65.13948778,53.83325981,299.7575858,Poor
251,March,43,Musician,18627.64,,7,7,19,6,31,21,5.07,7,Bad,1793.54,27.19720883,227,Yes,31551,105.1491496,258.441696,Poor
253,May,43,Musician,18627.64,,7,7,19,6,31,3318,5.07,7,Bad,1793.54,25.5852052,229,Yes,65.13948778,24.34618841,289.2446572,Poor
254,June,43,Musician,18627.64,1387.303333,7,7,19,6,31,21,6.07,7,Bad,1793.54,35.706437,230,Yes,65.13948778,109.5920323,243.9988133,Poor
256,August,44,Musician,18627.64,1387.303333,7,7,19,6,31,18,5.07,7,Bad,1793.54,38.78895429,232,Yes,65.13948778,98.80418974,264.7866558,Poor
276,April,37,Scientist,42171.98,,2,7,10,3,2,10,2.58,4,Good,556.91,34.42998587,260,No,102.7629131,255.7658284,287.9044251,Good
277,May,37,Scientist,42171.98,3764.331667,2,7,10,3,4,10,2.58,4,Good,556.91,31.74521339,261,No,102.7629131,150.313187,373.3570666,Good
284,April,36,Manager,71681.4,5799.45,3,6,15,1,4,8,10.44,0,Standard,1293.02,33.04149896,310,Yes,53.92351397,120.890142,645.131344,Good
286,June,36,Manager,71681.4,5799.45,3,6,15,1,5,6,10.44,0,Standard,1293.02,34.98356207,312,Yes,53.92351397,414.8965494,391.1249366,Good
288,August,36,Manager,71681.4,5799.45,3,6,15,1,8,8,10.44,0,Standard,1293.02,38.23451377,314,NM,53.92351397,295.811896,510.20959,Good
292,April,16,Mechanic,29469.98,2227.831667,7,7,24,5,53,21,26.94,11,Bad,3421.66,33.29865431,161,Yes,69.68545857,27.25079463,375.8469135,Poor
293,May,16,Mechanic,29469.98,2227.831667,7,7,24,5,53,21,26.94,11,Bad,3421.66,38.17731096,162,Yes,69.68545857,71.26438577,361.8333223,Poor
295,July,16,Mechanic,29469.98,,7,7,24,5,58,24,26.94,11,Bad,3421.66,33.2830613,164,Yes,69.68545857,115.4534157,327.6442924,Poor
296,August,16,Mechanic,29469.98,2227.831667,7,7,24,5,53,21,26.94,11,Bad,3421.66,32.96295024,165,Yes,69.68545857,24.06613145,379.0315766,Poor
305,January,36,Musician,15566.02,1423.168333,8,5,32,4,16,1338,9.24,7,Standard,1693.95,37.40993372,94,Yes,43.0705196,65.98658552,323.2597282,Poor
306,February,36,Musician,15566.02,1423.168333,8,5,32,4,17,20,9.24,7,Standard,1693.95,24.25102818,95,Yes,43.0705196,169.6209801,219.6253336,Poor
310,June,37,Musician,15566.02,1423.168333,8,5,32,4,13,23,9.24,9,Standard,1693.95,31.33422002,99,Yes,43.0705196,131.6125215,257.6337922,Poor
311,July,37,Musician,15566.02,1423.168333,67,5,32,4,12,17,11.24,9,Standard,1693.95,29.70645377,100,Yes,43.0705196,80.4844201,308.7618936,Poor
345,January,21,Lawyer,148699.32,12432.61,3,4,748,3,13,8,9.2,1,Good,949.38,41.68721335,367,No,364.9151774,296.1518279,822.1939947,Good
348,April,22,Lawyer,148699.32,12432.61,3,4,5,3,13,6,9.2,1,Good,949.38,31.40151636,370,No,364.9151774,599.4618328,558.8839898,Good
350,June,22,Lawyer,148699.32,12432.61,3,4,5,3,13,6,9.2,1,Good,949.38,26.71579704,372,No,364.9151774,861.1156692,277.2301534,Good
353,January,19,Musician,85554.03,7185.5025,4,2,3,0,12,7,6.43,3,Good,1095.73,33.43437152,235,No,0,162.9955862,795.5546638,Good
356,April,19,Musician,85554.03,7185.5025,4,2,3,-100,12,7,6.43,3,Good,1095.73,31.36024474,238,No,0,303.6646866,684.8855634,Good
358,June,19,Musician,85554.03,7185.5025,4,2,3,0,12,7,6.43,3,Good,1095.73,25.02632602,240,No,0,465.4277737,523.1224763,Good
373,May,27,Architect,14165.23,1057.435833,7,10,33,9,59,24,8.82,11,Bad,2797.17,27.64251073,171,Yes,58.86844084,105.7567546,221.1183879,Poor
375,July,27,Architect,14165.23,1057.435833,7,10,33,9,59,24,8.82,11,Bad,2797.17,32.4729893,173,Yes,58.86844084,45.62644682,281.2486957,Poor
381,May,30,Teacher,87215.68,7489.973333,2,6,8,2,2,5,10.98,0,Good,680.77,33.9600344,252,No,121.6820167,799.3743611,117.9409555,Good
384,August,30,Teacher,87215.68,7489.973333,2,6,8,2,2,8,10.98,0,Good,680.77,35.62288337,255,NM,19734,304.2028104,573.1125062,Good
396,April,38,Doctor,95956.5,8279.375,8,4,11,2,28,,13.94,2,Standard,1079.73,28.06838239,382,No,95.52162878,623.4087219,389.0071493,Good
398,June,38,Doctor,95956.5,8279.375,8,4,11,2,23,,11.94,2,Standard,1079.73,24.97857316,384,No,95.52162878,761.0455291,251.3703422,Good
399,July,38,Doctor,95956.5,8279.375,8,4,11,2,23,10,11.94,2,Standard,1079.73,28.32191417,385,NM,95.52162878,777.6020727,234.8137985,Good
401,January,25,Manager,49967.01,4091.9175,7,6,31,6,27,11,19.87,11,Standard,2253.95,28.87573769,202,Yes,156.0033117,66.93199535,426.256443,Poor
402,February,25,_______,49967.01,,7,6,31,6,27,11,19.87,11,Standard,2253.95,23.11502218,203,Yes,156.0033117,132.2857313,390.9027071,Poor
403,March,26,Manager,49967.01,4091.9175,7,6,31,6,27,11,19.87,11,Standard,2253.95,38.57921381,204,Yes,156.0033117,80.27846003,422.9099783,Poor
404,April,26,Manager,49967.01,4091.9175,7,6,31,6,27,11,19.87,11,Standard,2253.95,22.84117831,205,Yes,156.0033117,373.1685164,160.019922,Poor
406,June,26,Manager,49967.01,4091.9175,6,5,31,6,27,14,24.87,11,Standard,2253.95,37.33034027,207,Yes,156.0033117,,436.3089192,Poor
408,August,3052,Manager,49967.01,4091.9175,6,5,31,6,27,11,19.87,12,Standard,2253.95,31.5207818,209,Yes,156.0033117,116.361294,386.8271444,Poor
409,January,14,Developer,39887.22,3224.935,9,9,16,5,57,21,17.25,10,Bad,3119.6,30.18805936,149,Yes,133.4708452,198.9967508,270.025904,Poor
412,April,14,Developer,39887.22,3224.935,9,9,16,5,52,,17.25,14,Bad,3119.6,37.08960444,152,NM,133.4708452,,176.9314779,Poor
413,May,14,Developer,39887.22,3224.935,9,9,16,5,54,19,17.25,14,Bad,3119.6,36.97060762,153,Yes,133.4708452,96.09548178,342.927173,Poor
415,July,14,Developer,39887.22,3224.935,9,9,16,5,57,19,17.25,14,Bad,3119.6,24.14813227,155,Yes,133.4708452,111.6678075,337.3548473,Poor
417,January,43,Developer,14129.76,1012.48,8,5,21,8,62,17,5.51,6,Bad,4071.62,36.1372924,151,Yes,81.71265501,124.4459203,185.0894247,Poor
423,July,44,Developer,14129.76,,8,5,21,8,64,,-1.49,6,Bad,4071.62,37.09478339,157,Yes,70.97506655,105.3029678,204.2323772,Poor
424,August,44,Developer,14129.76,1023.217588,8,5,21,8,62,18,5.51,6,Bad,4071.62,35.66937314,158,NM,70.97506655,33.37622926,236.1591157,Poor
425,January,42,Developer,123732.32,10416.02667,4,3,11,0,15,8,11.92,3,Good,1154.46,43.36806475,327,No,0,,940.3944828,Good
444,April,23,Entrepreneur,36822.29,3132.524167,8,7,6,4,14,19,5.79,5,Standard,125.25,35.08033049,299,No,95.80071292,73.93253934,383.5191644,Good
446,June,23,_______,36822.29,3132.524167,8,7,6,4,16,18,5.79,5,Standard,125.25,39.64980173,301,No,95.80071292,38.11405466,429.3376491,Good
448,August,23,Entrepreneur,36822.29,3132.524167,8,7,6,4,15,19,5.79,5,Standard,125.25,39.05658586,303,No,95.80071292,251.9834114,245.4682923,Good
458,February,20,Scientist,69977.6,5978.466667,10,7,20,9,49,18,6.81,11,Bad,3042.36,30.46783632,153,Yes,485.750431,470.8372043,,Poor
461,May,20,Scientist,69977.6,5978.466667,10,7,20,9,49,18,6.81,11,Bad,3042.36,26.20467951,156,Yes,485.750431,122.7310698,229.3651659,Poor
465,January,16,Musician,78988.48,6449.373333,9,5,29,7,27,17,15.27,9,Bad,1746.9,34.70500518,121,Yes,291.7827603,88.07126674,515.0833063,Poor
467,March,16,Musician,78988.48,6449.373333,9,5,29,7,27,17,15.27,9,Bad,1746.9,28.38967163,123,Yes,291.7827603,295.6050491,327.5495239,Poor
470,June,16,Musician,78988.48,6449.373333,9,5,29,7,27,15,15.27,9,Bad,1746.9,32.4955483,126,Yes,291.7827603,399.2485836,233.9059894,Poor
472,August,16,Musician,78988.48,6449.373333,9,5,29,7,27,17,10.27,9,Bad,1746.9,28.95543808,128,Yes,291.7827603,162.0816014,431.0729716,Poor
473,January,45,Journalist,41746.76,3651.896667,8,5,5261,3,62,21,9.81,8,Bad,1936.79,37.70526076,229,Yes,102.2833975,425.1038222,127.8024469,Poor
476,April,45,Journalist,41746.76,3651.896667,8,5,31,3,62,21,9.81,11,Bad,1936.79,37.58178658,232,Yes,102.2833975,134.42247,398.4837991,Poor
478,June,46,_______,41746.76,3651.896667,8,5,31,3,67,21,9.81,11,Bad,1936.79,32.15961047,234,Yes,102.2833975,199.1276057,323.7786634,Poor
479,July,46,Journalist,41746.76,,8,5,31,3,59,23,9.81,11,Bad,1936.79,23.1789381,235,Yes,102.2833975,143.6062003,409.3000689,Poor
488,August,22,_______,19981.6,1459.133333,10,8,20,7,54,21,23.58,12,Bad,4834.59,30.8132951,129,Yes,78.41827155,171.6398273,185.8552345,Poor
498,February,33,Musician,88362.46,7255.538333,5,2,8,3,15,10,9.01,4,Good,325.93,36.5905132,369,No,211.1843903,472.7754275,321.5940155,Good
500,April,34,Musician,88362.46,7255.538333,5,2,8,3,15,8,11.01,4,Good,325.93,31.5286769,371,No,211.1843903,283.3812328,480.9882102,Good
502,June,34,Musician,88362.46,7255.538333,5,2,8,3,15,6,11.01,6,Good,325.93,38.41963348,373,No,211.1843903,214.6101098,579.7593332,Good
504,August,34,Musician,88362.46,,5,2,8,3,15,7,11.01,1251,Good,325.93,36.53896301,375,No,211.1843903,80.07134636,674.2980966,Good
505,January,45,Entrepreneur,118248.6,10115.05,5,1,4,0,13,10,3.69,4,Good,191.09,29.14953015,205,NM,0,227.6187415,1023.886258,Good
507,March,45,Entrepreneur,118248.6,10115.05,5,1,4,0,13,7,-0.31,4,Good,191.09,32.68206167,207,No,0,545.8997341,755.6052659,Good
510,June,45,_______,118248.6,10115.05,5,1,4,0,13,10,3.69,8,Good,191.09,43.96183939,210,No,0,324.6255705,936.8794295,Good
511,July,45,Entrepreneur,118248.6,10115.05,5,1,4,0,13,,4.69,8,Good,191.09,33.22380962,211,No,0,509.4292024,782.0757976,Good
512,August,45,Entrepreneur,118248.6,10115.05,5,1,4,0,18,13,3.69,8,Good,191.09,29.42716484,212,NM,0,614.4651135,687.0398865,Good
526,June,18,Musician,75273.24,,8,6,32,5,50,9,12.8,8,Standard,2497.34,37.90870332,67,Yes,351.3670447,76.68731089,595.970633,Poor
527,July,18,Musician,75273.24,6424.022011,8,6,32,5,50,10,17.8,8,Standard,2497.34,33.04396326,68,Yes,351.3670447,73.1795427,609.4784012,Poor
553,January,42,Doctor,45207.54,3507.295,8,8,24,6,21,20,9.78,9,Bad,2497.48,26.63171974,196,Yes,148.9132734,39.83022939,401.9859972,Poor
554,February,42,Doctor,45207.54,3507.295,8,8,24,6,24,22,9.78,9,Bad,2497.48,33.88856426,197,Yes,148.9132734,375.7330662,116.0831604,Poor
556,April,42,_______,45207.54,3507.295,8,8,24,6,21,20,9.78,9,Bad,2497.48,29.57534481,199,Yes,148.9132734,131.096168,320.7200586,Poor
557,May,43,Doctor,45207.54,3507.295,8,8,24,6,25,20,9.78,9,Bad,2497.48,28.94303915,200,Yes,148.9132734,119.0870984,362.7291282,Poor
558,June,43,_______,45207.54,3507.295,8,8,24,6,24,23,9.78,9,Bad,2497.48,22.50520105,201,Yes,148.9132734,55.56367935,396.2525472,Poor
559,July,43,Doctor,45207.54,,8,8,24,6,22,20,9.78,9,Bad,2497.48,28.69336879,202,Yes,148.9132734,154.8627585,306.953468,Poor
560,August,43,Doctor,45207.54,3507.295,8,8,2724,6,24,20,9.78,13,Bad,2497.48,25.09430322,203,Yes,148.9132734,331.9257292,159.8904974,Poor
566,June,18,Scientist,144546.72,10653.04311,0,3,7,2,15,7,6.08,1,Good,1045.11,37.16404251,280,No,1293.505449,415.1834125,878.7840309,Good
581,May,47,Mechanic,18681.465,,2,3,9,2,6,,3.9,3,Good,327.88,31.86689252,373,No,57523,77.79346468,345.8639853,Good
582,June,47,Mechanic,18681.465,1584.78875,2,3,9,2,6,8,3.9,3,Good,327.88,30.12793418,374,No,24.82142498,131.1074314,272.5500187,Good
583,July,47,Mechanic,18681.465,1584.78875,2,3,9,2,6,8,3.9,3,Good,327.88,37.45520315,375,No,24.82142498,32.94987665,360.7075734,Good
593,January,35,Media_Manager,72330.98,6300.581667,0,262,11,1,1,7,4.62,1,Good,596.78,31.87384175,392,No,31.37979416,390.5462005,488.132172,Good
594,February,35,Media_Manager,72330.98,6300.581667,0,3,11,1,2,6,4.62,1,Good,596.78,32.36779297,393,No,31.37979416,171.7435332,676.9348393,Good
596,April,35,Media_Manager,72330.98,6300.581667,0,3,11,1,2,6,4.62,1,Good,596.78,30.15846394,395,No,31.37979416,701.6599477,187.0184248,Good
600,August,35,Media_Manager,72330.98,6300.581667,0,3,11,1,1,6,4.62,1,Good,596.78,24.83928335,399,No,31.37979416,301.2225183,567.4558542,Good
604,April,16,Teacher,43241.49,,10,7,30,6,33,17,7.47,10,Bad,2174.16,24.40758995,149,Yes,162.2389631,179.3559234,286.4508636,Poor
621,May,25,Teacher,129067.59,,1,3,1,4,9,6,4.54,0,Good,137.15,32.67772557,323,NM,389.3056725,112.014526,818.2430515,Good
622,June,25,Teacher,129067.59,,1,3,1,-100,9,5,4.54,0,Good,137.15,28.43760665,324,No,389.3056725,264.7400106,665.517567,Good
628,April,34,Architect,17001.34,1214.778333,6,5,5,1,10,18,12.62,0,Standard,1093.87,28.63344077,209,NM,10.53555561,51.9051847,349.037093,Poor
633,January,21,Accountant,44719.17,3969.5975,6,6,29,7,41,19,23.21,11,Bad,3818.57,30.98237348,155,Yes,248.5998859,130.2512251,268.1086391,Poor
634,February,21,Accountant,44719.17,3969.5975,6,6,29,7,39,20,29.21,11,Bad,3818.57,30.86937294,156,NM,248.5998859,167.656053,240.7038111,Poor
635,March,21,Accountant,44719.17,3969.5975,6,6,29,7,47,21,23.21,11,Bad,3818.57,27.97975079,157,NM,248.5998859,,289.8878581,Poor
636,April,21,Accountant,44719.17,3969.5975,6,6,29,7,47,20,23.21,11,Bad,3818.57,30.73768432,158,Yes,248.5998859,316.1728449,102.1870192,Poor
640,August,21,Accountant,44719.17,3969.5975,6,6,29,7,46,19,23.21,14,Bad,3818.57,29.38080624,162,Yes,248.5998859,115.7644921,282.5953721,Poor
649,January,-500,Teacher,103353.06,8527.755,3,3,6,1,4,9,3.11,2,Good,1374.56,32.6855216,307,No,64.00168567,,857.8262026,Good
652,April,42,Teacher,103353.06,8527.755,3,3,6,1,4,9,3.11,2,Good,1374.56,23.17084458,310,No,64.00168567,1043.873612,34.90020276,Good
656,August,42,Teacher,103353.06,8527.755,3,3,6,1,4,12,3.11,2,Good,1374.56,41.83706533,314,No,64.00168567,67.10576785,961.6680465,Good
669,May,36,Journalist,134978.24,10541.52075,8,5,15,2,9,16,9.89,3,Standard,668.14,41.61797405,318,Yes,662.7777405,148.8875069,1061.919336,Good
670,June,36,Journalist,134978.24,10541.52075,8,5,15,2,9,16,9.89,5,Standard,668.14,36.16238357,319,Yes,662.7777405,663.6269365,577.1799068,Good
671,July,37,Journalist,134978.24,10541.52075,8,5,15,2,9,16,6.89,5,Standard,668.14,38.75069359,320,Yes,662.7777405,780.4179941,470.3888491,Good
672,August,37,Journalist,134978.24,10541.52075,8,5,15,2,9,15,16.89,5,Standard,668.14,39.14219982,321,Yes,662.7777405,,667.8676,Good
676,April,28,Writer,39800.12,3047.676667,7,5,12,3,17,18,18.53,4,Standard,660.69,41.20335336,216,Yes,58.48765734,33.79278212,462.4872272,Good
691,March,21,Architect,66105.4,5653.783333,6,8,31,5,26,,-1.48,9,Bad,1549.56,33.89863232,136,Yes,214.0721231,291.4013793,339.904831,Poor
692,April,21,Architect,66105.4,,6,8,31,5,26,23,5.52,9,Bad,1549.56,28.07920302,137,Yes,214.0721231,169.8398152,441.4663951,Poor
693,May,21,Architect,66105.4,5653.783333,6,8,31,5,23,22,5.52,9,Bad,1549.56,31.75671187,138,Yes,214.0721231,732.6818427,,Poor
695,July,22,_______,66105.4,5653.783333,6,8,31,5,26,22,10.52,12,Bad,1549.56,38.64822202,140,NM,214.0721231,274.5726741,366.7335361,Poor
696,August,22,Architect,66105.4,5653.783333,6,8,31,5,26,22,5.52,12,Bad,1549.56,24.71419199,141,Yes,214.0721231,,474.0764973,Poor
718,June,53,Engineer,17992.775,1769.397917,3,5,6,0,5,10,8.61,3,Good,565.22,31.05399429,232,No,0,23.00301884,393.9367728,Poor
724,April,55,_______,139354.48,10872.26506,3,3,18,0,15,16,4.94,3,Standard,519.3,37.06219362,242,No,48332,899.2623909,534.0249425,Good
